screening_name,import_id,cost,qaly,cost_per_qaly,problem?
osteoporosis,40,1434.00,0.02,89625.00,
osteoporosis,41,1040.00,0.02,43333.33,
osteoporosis,42,-1.00,0.05,-22.22,
osteoporosis,43,-735.00,0.07,-10808.82,
osteoporosis,44,-660.00,0.08,-8354.43,
osteoporosis,45,1976.00,0.01,282286.00,
osteoporosis,46,1783.00,0.01,162091.00,
osteoporosis,47,1293.00,0.02,64650.00,
osteoporosis,48,888.00,0.03,28645.00,
osteoporosis,49,792.00,0.04,22000.00,
osteoporosis,50,1875.00,0.01,208333.00,
osteoporosis,51,1621.00,0.01,124692.00,
osteoporosis,52,961.00,0.02,40042.00,
osteoporosis,53,502.00,0.04,12872.00,
osteoporosis,54,440.00,0.05,9362.00,
osteoporosis,55,1893.00,0.01,236625.00,
osteoporosis,56,1634.00,0.01,136167.00,
osteoporosis,57,952.00,0.02,43273.00,
osteoporosis,58,446.00,0.04,12389.00,
osteoporosis,59,371.00,0.05,8244.00,
osteoporosis,60,1834.00,0.01,203778.00,
osteoporosis,61,1743.00,0.01,145250.00,
osteoporosis,62,1318.00,0.02,59909.00,
osteoporosis,63,1110.00,0.03,35806.00,
osteoporosis,64,657.00,0.05,13688.00,
osteoporosis,65,2053.00,0.01,410600.00,
osteoporosis,66,1966.00,0.01,327667.00,
osteoporosis,67,1703.00,0.01,141917.00,
osteoporosis,68,1516.00,0.02,94750.00,
osteoporosis,69,1183.00,0.03,43815.00,
osteoporosis,70,2049.00,0.01,409800.00,
osteoporosis,71,1965.00,0.01,280714.00,
osteoporosis,72,1651.00,0.01,127000.00,
osteoporosis,73,1477.00,0.02,73850.00,
osteoporosis,74,1043.00,0.03,32594.00,
osteoporosis,75,2016.00,0.01,403200.00,
osteoporosis,76,1928.00,0.01,275429.00,
osteoporosis,77,1575.00,0.01,112500.00,
osteoporosis,78,1392.00,0.02,63273.00,
osteoporosis,79,929.00,0.04,25806.00,
aaa,80,308.30,0.03,10631.03,
alcohol_misuse,81,292.57,0.02,12144.81,
aspirin,82,76.00,0.02,3634.00,
aspirin,83,76.00,0.01,12666.67,
cholesterol,84,108.00,0.00,40241.18,
cholesterol,85,108.00,0.01,10452.47,
cholesterol,86,108.00,0.00,46990.19,
cholesterol,87,108.00,0.00,36887.37,
cholesterol,88,108.00,0.00,39516.67,
cholesterol,89,108.00,0.01,8500.00,
cholesterol,90,108.00,0.00,47543.48,
cholesterol,91,108.00,0.00,41566.66,
cholesterol,92,108.00,0.00,41266.67,
cholesterol,93,108.00,0.05,2400.00,
cholesterol,94,108.00,0.00,46250.00,
cholesterol,95,108.00,0.00,38000.00,
colorectal,96,617750.00,25.98,23782.48,*
colorectal,97,695800.00,18.54,37529.67,*
colorectal,98,621500.00,28.43,21864.56,*
colorectal,99,723200.00,18.74,38591.25,*
colorectal,100,705750.00,28.15,25071.05,*
colorectal,101,775400.00,19.66,39440.49,*
colorectal,102,749750.00,26.00,28836.54,*
colorectal,103,831800.00,17.12,48586.45,*
flu,104,628422231.00,220466.00,2850.43,*
depression,105,43.24,0.00,192470.73,
glaucoma,106,371.00,0.01,28538.46,
lung_cancer,107,4600.00,0.04,117948.72,
lung_cancer,108,4300.00,0.00,2150000.00,
tobacco_cessation,109,409.74,0.34,1212.25,
tobacco_cessation,110,354.26,0.55,644.11,
breast_cancer,111,32530000.00,146658.00,50131.00,*
diabetes,112,524.00,0.01,52400.00,
hepatitis_c,113,91.06,0.01,15781.63,
hiv,114,66.00,0.26,91410.00,
hiv,115,64.00,0.21,110630.00,
hiv,116,62.00,0.16,143060.00,
pneumococcal,117,-6.48,0.00,-1945.95,
